date,machine_id,material_type,environment,production_yield,defect_rate,machine_downtime,temperature,humidity
2024-08-21,Machine_1,Gallium Arsenide,Cleanroom_4,81.07,0.17,2.29,25.7,39.39
2023-01-25,Machine_17,Germanium,Cleanroom_3,82.11,9.69,21.02,29.97,40.14
2023-10-27,Machine_16,Gallium Arsenide,Cleanroom_3,80.54,1.16,20.01,25.34,49.91
2024-08-31,Machine_3,Silicon,Cleanroom_3,74.74,7.99,17.06,29.05,38.65
2023-08-10,Machine_3,Silicon,Cleanroom_4,91.13,9.02,8.08,22.35,31.37
2023-09-12,Machine_4,Germanium,Cleanroom_4,73.51,4.64,20.32,20.25,35.06
2024-10-05,Machine_12,Silicon Carbide,Cleanroom_3,83.25,9.71,22.35,23.49,36.1
2024-10-15,Machine_15,Silicon Carbide,Cleanroom_3,74.86,9.03,18.8,21.96,45.08
2024-07-05,Machine_13,Silicon,Cleanroom_2,74.3,5.87,4.06,29.81,48.52
2024-11-28,Machine_2,Silicon Carbide,Cleanroom_4,94.32,9.39,23.97,29.14,39.51
2023-03-17,Machine_18,Germanium,Cleanroom_1,90.55,2.68,21.64,23.49,44.57
2023-12-03,Machine_7,Germanium,Cleanroom_4,81.19,4.74,6.74,21.79,43.97
2023-04-21,Machine_4,Germanium,Cleanroom_2,73.48,6.25,18.09,23.42,32.34
2024-01-18,Machine_14,Silicon,Cleanroom_2,76.05,0.66,4.04,25.22,45.21
2024-05-30,Machine_1,Germanium,Cleanroom_2,79.85,0.61,1.05,26.65,40.83
2024-03-10,Machine_2,Silicon,Cleanroom_1,79.36,9.98,11.72,29.09,42.33
2024-11-04,Machine_17,Silicon,Cleanroom_4,80.52,7.18,4.22,27.82,38.01
2024-12-02,Machine_16,Silicon,Cleanroom_1,91.84,9.02,23.49,21.13,42.88
2023-07-14,Machine_13,Germanium,Cleanroom_4,91.59,2.09,6.37,29.49,40.47
2023-06-18,Machine_8,Silicon Carbide,Cleanroom_4,96.78,8.4,14.23,20.74,32.5
2023-05-17,Machine_19,Germanium,Cleanroom_1,86.77,4.53,16.72,25.55,46.83
2024-12-06,Machine_17,Silicon,Cleanroom_2,95.8,7.92,16.66,25.01,47.81
2024-02-20,Machine_19,Gallium Arsenide,Cleanroom_2,73.84,4.32,23.88,28.36,30.59
2024-12-16,Machine_17,Silicon Carbide,Cleanroom_4,94.95,0.15,22.05,28.89,36.79
2024-03-05,Machine_4,Germanium,Cleanroom_3,95.94,0.36,13.58,24.53,43.97
2023-06-15,Machine_11,Silicon Carbide,Cleanroom_4,98.42,3.76,4.35,24.14,39.92
2024-06-15,Machine_8,Silicon,Cleanroom_4,71.66,5.16,3.72,25.32,32.26
2023-02-18,Machine_18,Gallium Arsenide,Cleanroom_3,87.94,0.86,19.36,22.66,32.14
2024-09-09,Machine_4,Gallium Arsenide,Cleanroom_2,91.13,4.13,10.77,29.75,48.94
2024-03-19,Machine_4,Gallium Arsenide,Cleanroom_1,98.65,9.56,2.38,22.3,31.48
2024-10-12,Machine_3,Gallium Arsenide,Cleanroom_1,83.2,9.65,16.05,25.58,41.85
2023-06-05,Machine_3,Silicon,Cleanroom_4,92.78,3.11,23.52,20.63,30.77
2024-12-22,Machine_9,Gallium Arsenide,Cleanroom_3,91.03,8.84,12.65,20.39,46.22
2023-10-03,Machine_9,Germanium,Cleanroom_2,73.15,4.61,14.25,22.24,47.43
2024-03-01,Machine_11,Silicon Carbide,Cleanroom_3,77.66,1.57,18.39,23.85,36.25
2024-05-14,Machine_17,Germanium,Cleanroom_2,81.38,7.45,21.39,28.38,48.12
2024-12-11,Machine_8,Silicon,Cleanroom_3,98.39,6.74,1.39,23.59,46.99
2024-09-19,Machine_12,Gallium Arsenide,Cleanroom_2,94.39,9.31,7.34,20.13,41.74
2024-04-02,Machine_12,Silicon Carbide,Cleanroom_4,93.6,9.04,23.16,24.98,33.37
2023-10-19,Machine_12,Gallium Arsenide,Cleanroom_2,80.88,6.56,6.8,26.83,40.48
2024-07-30,Machine_16,Germanium,Cleanroom_2,71.85,6.32,22.16,27.46,32.63
2024-07-25,Machine_1,Gallium Arsenide,Cleanroom_4,97.83,9.51,15.76,25.59,30.49
2024-07-29,Machine_9,Silicon,Cleanroom_4,74.81,9.83,16.74,27.91,33.62
2024-04-27,Machine_5,Gallium Arsenide,Cleanroom_2,71.2,3.55,3.27,25.47,42.07
2023-02-11,Machine_2,Silicon Carbide,Cleanroom_2,81.57,3.35,2.35,26.04,46.21
2023-06-20,Machine_8,Germanium,Cleanroom_2,89.73,0.23,4.22,29.93,35.51
2024-08-09,Machine_17,Silicon Carbide,Cleanroom_4,89.45,6.74,1.09,25.91,46.31
2024-06-20,Machine_10,Gallium Arsenide,Cleanroom_1,98.21,5.15,19.51,23.58,31.81
2024-11-07,Machine_8,Silicon,Cleanroom_2,98.09,3.08,1.62,28.49,32.32
2024-09-08,Machine_19,Silicon Carbide,Cleanroom_4,91.07,2.45,21.21,20.01,34.69
2023-01-09,Machine_9,Gallium Arsenide,Cleanroom_1,71.73,3.27,3.11,26.04,33.41
2024-10-31,Machine_10,Silicon Carbide,Cleanroom_4,87.76,1.76,14.32,22.06,48.14
2023-08-05,Machine_14,Silicon,Cleanroom_3,91.06,9.2,4.75,23.77,43.0
2024-12-07,Machine_6,Gallium Arsenide,Cleanroom_2,80.25,3.54,16.93,27.7,38.97
2023-06-02,Machine_4,Gallium Arsenide,Cleanroom_2,98.19,7.96,4.49,29.1,41.31
2024-11-26,Machine_8,Silicon Carbide,Cleanroom_4,90.18,1.08,1.47,20.46,45.9
2024-03-04,Machine_15,Silicon,Cleanroom_2,86.51,7.33,0.6,20.9,38.76
2023-12-13,Machine_19,Germanium,Cleanroom_4,77.6,6.36,18.21,27.56,37.53
2024-01-17,Machine_18,Silicon Carbide,Cleanroom_4,97.44,5.8,7.04,24.96,35.4
2024-06-18,Machine_2,Silicon,Cleanroom_4,83.11,0.4,21.02,23.77,31.86
2024-03-26,Machine_8,Gallium Arsenide,Cleanroom_3,84.41,6.93,20.18,22.19,42.78
2023-08-21,Machine_2,Gallium Arsenide,Cleanroom_4,95.29,5.32,6.74,24.36,30.43
2023-01-05,Machine_16,Germanium,Cleanroom_1,70.35,5.26,5.54,29.83,34.26
2024-10-14,Machine_9,Gallium Arsenide,Cleanroom_1,75.68,2.12,4.48,28.85,34.11
2023-01-13,Machine_12,Germanium,Cleanroom_3,77.7,5.36,21.81,26.53,35.62
2023-11-26,Machine_5,Silicon,Cleanroom_2,91.49,4.04,7.17,25.12,31.18
2023-08-29,Machine_3,Silicon Carbide,Cleanroom_3,94.63,5.91,4.75,27.47,35.96
2024-01-11,Machine_8,Silicon Carbide,Cleanroom_1,87.38,4.37,5.7,20.97,46.18
2023-02-05,Machine_8,Gallium Arsenide,Cleanroom_4,74.91,3.52,22.84,28.44,44.24
2024-12-20,Machine_7,Gallium Arsenide,Cleanroom_1,98.52,7.57,8.53,24.14,33.18
2023-12-31,Machine_17,Germanium,Cleanroom_2,98.59,1.15,21.3,24.65,41.15
2024-04-28,Machine_10,Silicon,Cleanroom_2,96.28,1.64,11.92,23.81,48.66
2024-11-10,Machine_13,Germanium,Cleanroom_2,89.44,4.61,6.21,20.37,49.48
2023-05-12,Machine_12,Gallium Arsenide,Cleanroom_2,80.36,8.53,8.93,22.78,37.35
2024-10-30,Machine_13,Silicon Carbide,Cleanroom_4,96.8,5.93,4.17,28.44,42.81
2023-05-06,Machine_6,Germanium,Cleanroom_2,85.57,5.09,7.1,23.11,49.37
2024-04-18,Machine_9,Germanium,Cleanroom_1,93.77,9.09,11.3,24.39,42.38
2023-12-21,Machine_19,Silicon Carbide,Cleanroom_4,90.25,3.85,12.81,27.78,30.76
2024-08-07,Machine_17,Gallium Arsenide,Cleanroom_2,72.78,7.71,7.62,22.51,43.64
2023-02-23,Machine_17,Silicon,Cleanroom_4,82.37,2.99,13.08,26.42,42.79
2023-10-04,Machine_9,Gallium Arsenide,Cleanroom_4,98.72,7.91,17.12,24.23,47.8
2023-09-28,Machine_10,Germanium,Cleanroom_4,77.56,8.34,14.81,23.65,40.57
2023-09-17,Machine_19,Germanium,Cleanroom_2,82.78,1.08,12.04,23.95,40.28
2024-11-16,Machine_9,Silicon,Cleanroom_4,70.42,0.58,10.95,28.12,31.74
2023-11-03,Machine_10,Gallium Arsenide,Cleanroom_2,81.01,3.24,4.33,20.4,41.61
2023-06-08,Machine_16,Gallium Arsenide,Cleanroom_3,88.0,9.68,18.92,26.17,48.59
2024-05-17,Machine_3,Gallium Arsenide,Cleanroom_4,77.55,9.95,21.88,26.33,40.59
2023-04-17,Machine_8,Silicon Carbide,Cleanroom_4,81.44,9.13,4.64,22.89,38.2
2024-03-09,Machine_8,Silicon,Cleanroom_4,99.85,6.15,19.77,25.4,35.11
2023-06-03,Machine_14,Silicon Carbide,Cleanroom_3,93.19,8.69,2.92,22.94,38.27
2023-01-09,Machine_8,Gallium Arsenide,Cleanroom_1,92.47,3.5,14.47,28.78,32.65
2024-06-11,Machine_20,Germanium,Cleanroom_2,78.02,1.5,23.14,27.83,42.67
2023-12-26,Machine_20,Germanium,Cleanroom_4,97.55,1.27,18.6,28.19,44.52
2024-03-27,Machine_12,Silicon,Cleanroom_4,90.04,9.03,16.4,20.74,30.91
2024-02-29,Machine_9,Germanium,Cleanroom_4,96.38,6.13,4.72,28.86,33.29
2024-09-21,Machine_17,Silicon,Cleanroom_1,97.1,0.52,2.55,22.69,42.01
2023-07-22,Machine_11,Silicon Carbide,Cleanroom_4,90.98,8.7,1.81,20.78,31.19
2024-08-05,Machine_6,Silicon,Cleanroom_2,83.9,0.83,0.26,26.1,32.22
2023-11-09,Machine_15,Silicon Carbide,Cleanroom_4,70.31,3.64,10.41,24.86,46.81
2023-02-24,Machine_8,Germanium,Cleanroom_4,77.1,9.67,11.09,21.7,43.92
2023-11-23,Machine_9,Germanium,Cleanroom_2,76.53,4.98,10.59,22.26,43.52
2023-02-04,Machine_1,Gallium Arsenide,Cleanroom_2,85.4,7.33,19.12,28.27,32.89
2023-10-28,Machine_3,Germanium,Cleanroom_4,71.28,8.75,15.13,23.98,47.03
2024-11-24,Machine_2,Gallium Arsenide,Cleanroom_4,96.74,3.4,2.85,26.97,36.37
2024-06-08,Machine_1,Silicon Carbide,Cleanroom_3,72.04,9.34,7.52,29.48,43.12
2024-11-13,Machine_5,Germanium,Cleanroom_2,91.84,7.96,15.64,23.72,42.03
2024-04-01,Machine_14,Gallium Arsenide,Cleanroom_4,85.79,3.64,16.72,24.44,38.53
2023-02-17,Machine_11,Silicon,Cleanroom_3,87.94,4.99,11.74,28.93,43.36
2024-01-15,Machine_13,Silicon Carbide,Cleanroom_4,86.91,0.14,1.97,21.48,43.97
2023-04-12,Machine_4,Gallium Arsenide,Cleanroom_1,92.18,1.52,22.22,23.38,36.9
2024-02-25,Machine_11,Germanium,Cleanroom_1,77.56,0.82,6.25,24.6,42.7
2024-08-31,Machine_13,Silicon,Cleanroom_4,85.47,5.45,4.74,27.94,47.67
2024-07-25,Machine_16,Germanium,Cleanroom_2,97.85,1.58,14.84,21.66,41.8
2023-04-17,Machine_13,Silicon,Cleanroom_1,96.22,3.25,12.02,27.03,47.24
2024-05-03,Machine_3,Silicon,Cleanroom_4,84.98,4.66,4.29,24.39,46.89
2023-02-23,Machine_7,Silicon Carbide,Cleanroom_3,88.5,6.39,14.46,25.66,30.86
2023-09-06,Machine_17,Gallium Arsenide,Cleanroom_4,82.39,4.01,13.73,20.15,41.53
2024-06-21,Machine_1,Silicon Carbide,Cleanroom_3,92.03,1.18,12.0,29.07,38.19
2023-06-03,Machine_7,Silicon,Cleanroom_3,88.21,1.82,18.71,22.41,34.23
2024-03-12,Machine_9,Germanium,Cleanroom_3,89.73,5.98,19.37,21.91,46.17
2024-12-28,Machine_15,Silicon,Cleanroom_1,91.08,4.82,3.95,28.8,38.49
2023-12-03,Machine_16,Silicon Carbide,Cleanroom_2,77.23,3.36,23.32,24.59,49.4
2024-12-31,Machine_13,Gallium Arsenide,Cleanroom_2,74.05,2.24,10.51,29.79,47.13
2024-01-01,Machine_6,Silicon Carbide,Cleanroom_1,93.8,8.32,12.87,22.26,43.38
2023-10-15,Machine_11,Gallium Arsenide,Cleanroom_2,73.8,0.22,2.87,24.8,47.89
2023-06-13,Machine_20,Germanium,Cleanroom_3,91.42,4.88,15.4,27.69,34.14
2023-03-20,Machine_16,Germanium,Cleanroom_3,75.0,3.34,9.18,25.51,42.08
2024-05-14,Machine_8,Silicon Carbide,Cleanroom_2,70.53,8.62,6.18,20.94,30.31
2023-07-14,Machine_2,Silicon,Cleanroom_4,80.84,5.43,10.21,21.86,45.6
2024-11-19,Machine_4,Gallium Arsenide,Cleanroom_4,98.18,6.85,3.09,27.67,30.69
2024-02-02,Machine_6,Gallium Arsenide,Cleanroom_1,98.37,7.97,6.96,21.92,42.42
2024-09-11,Machine_13,Gallium Arsenide,Cleanroom_3,83.83,3.46,11.0,29.77,37.04
2024-03-13,Machine_14,Silicon Carbide,Cleanroom_4,84.86,0.39,15.03,26.1,45.0
2023-10-03,Machine_10,Silicon,Cleanroom_1,93.78,9.62,8.1,27.73,32.08
2024-03-14,Machine_9,Silicon Carbide,Cleanroom_4,89.84,3.83,15.38,24.68,38.33
2024-11-15,Machine_8,Silicon,Cleanroom_4,75.64,0.2,8.14,20.03,38.97
2023-06-08,Machine_11,Silicon Carbide,Cleanroom_4,85.1,9.7,17.74,22.6,38.39
2023-08-06,Machine_19,Gallium Arsenide,Cleanroom_2,82.17,5.34,0.86,29.59,39.72
2023-06-18,Machine_13,Silicon,Cleanroom_4,89.93,0.35,13.67,24.06,44.74
2023-08-08,Machine_14,Gallium Arsenide,Cleanroom_2,88.8,9.82,11.91,28.75,48.59
2024-01-29,Machine_6,Germanium,Cleanroom_2,98.55,9.3,12.09,20.85,49.13
2023-04-25,Machine_15,Silicon Carbide,Cleanroom_4,98.27,1.29,13.4,26.53,32.14
2024-10-21,Machine_19,Germanium,Cleanroom_3,99.84,7.16,15.76,21.17,45.78
2023-12-21,Machine_3,Silicon Carbide,Cleanroom_1,77.97,1.9,19.28,28.27,40.64
2024-01-05,Machine_14,Germanium,Cleanroom_4,72.57,9.81,15.82,20.83,43.44
2024-07-31,Machine_19,Gallium Arsenide,Cleanroom_2,97.42,0.69,17.39,29.87,36.26
2024-01-01,Machine_2,Germanium,Cleanroom_3,90.18,0.13,18.5,26.19,42.8
2024-10-08,Machine_6,Silicon,Cleanroom_2,78.66,7.47,19.36,23.25,45.93
2023-10-21,Machine_4,Silicon,Cleanroom_2,99.72,5.32,0.41,28.24,45.72
2023-02-18,Machine_12,Gallium Arsenide,Cleanroom_1,84.66,3.47,12.68,26.06,47.33
2024-01-27,Machine_12,Gallium Arsenide,Cleanroom_1,96.04,1.3,9.08,25.25,47.84
2023-08-05,Machine_12,Silicon Carbide,Cleanroom_2,89.37,6.63,4.72,20.53,43.66
2023-09-12,Machine_12,Silicon Carbide,Cleanroom_2,94.11,4.54,12.39,23.81,47.41
2023-12-20,Machine_12,Germanium,Cleanroom_4,77.25,4.78,0.11,24.55,30.46
2024-12-19,Machine_5,Silicon,Cleanroom_4,73.76,6.96,14.2,24.77,34.55
2023-12-09,Machine_1,Silicon,Cleanroom_2,78.98,9.79,21.62,27.36,45.09
2024-04-17,Machine_14,Silicon,Cleanroom_3,89.94,6.04,3.31,22.85,39.22
2024-05-31,Machine_13,Silicon Carbide,Cleanroom_4,77.27,0.32,6.59,23.66,47.88
2024-03-22,Machine_19,Gallium Arsenide,Cleanroom_4,85.25,0.41,10.62,20.55,34.52
2023-07-22,Machine_6,Silicon Carbide,Cleanroom_1,89.48,1.44,5.15,28.91,40.94
2023-04-28,Machine_11,Germanium,Cleanroom_2,87.12,9.04,2.68,20.95,36.95
2024-10-06,Machine_16,Germanium,Cleanroom_2,71.45,7.06,15.68,27.74,44.98
2024-05-29,Machine_4,Gallium Arsenide,Cleanroom_2,84.76,6.35,12.02,24.65,33.67
2023-11-08,Machine_13,Gallium Arsenide,Cleanroom_3,77.13,9.83,14.68,21.61,33.69
2023-04-27,Machine_15,Germanium,Cleanroom_2,77.19,2.48,5.24,25.47,40.54
2023-01-24,Machine_13,Silicon,Cleanroom_4,77.44,8.13,8.72,28.59,33.82
2024-03-16,Machine_12,Silicon,Cleanroom_2,98.64,6.01,7.45,25.97,37.46
2023-07-30,Machine_5,Silicon,Cleanroom_4,98.94,5.91,12.47,20.58,48.99
2023-09-27,Machine_8,Silicon,Cleanroom_1,73.93,7.56,19.81,24.84,38.41
2024-04-07,Machine_17,Silicon Carbide,Cleanroom_4,79.75,2.62,1.94,21.2,35.3
2023-09-09,Machine_17,Silicon Carbide,Cleanroom_2,75.37,6.81,19.61,21.32,45.89
2023-04-21,Machine_18,Silicon,Cleanroom_3,75.3,5.43,1.76,22.64,43.33
2023-10-07,Machine_3,Silicon,Cleanroom_1,93.85,3.06,10.66,20.13,35.63
2024-05-31,Machine_10,Silicon,Cleanroom_3,95.26,5.53,3.28,23.43,30.17
2023-01-03,Machine_4,Silicon,Cleanroom_3,86.92,2.48,20.68,22.98,43.16
2024-08-11,Machine_18,Gallium Arsenide,Cleanroom_4,93.9,8.71,23.57,27.38,31.83
2024-04-07,Machine_11,Germanium,Cleanroom_2,70.05,4.08,11.25,20.22,40.22
2024-01-26,Machine_19,Germanium,Cleanroom_2,97.68,0.51,7.16,29.53,46.67
2024-08-20,Machine_8,Silicon,Cleanroom_3,89.33,3.5,1.4,29.92,34.01
2024-05-03,Machine_16,Germanium,Cleanroom_2,99.45,4.28,21.49,20.38,34.51
2024-04-02,Machine_14,Silicon,Cleanroom_3,76.52,6.73,23.76,29.17,34.95
2024-10-14,Machine_5,Silicon,Cleanroom_2,90.49,1.08,2.79,23.47,42.79
2023-02-27,Machine_8,Silicon,Cleanroom_2,87.32,3.93,14.99,26.92,41.83
2023-02-17,Machine_15,Gallium Arsenide,Cleanroom_4,95.67,1.04,1.46,27.87,44.24
2023-01-23,Machine_20,Gallium Arsenide,Cleanroom_1,71.72,5.03,11.29,27.4,37.6
2023-05-02,Machine_6,Silicon,Cleanroom_2,76.76,3.45,4.55,28.88,35.15
2023-04-24,Machine_7,Silicon Carbide,Cleanroom_2,73.46,2.04,0.91,28.67,35.12
2024-09-29,Machine_7,Germanium,Cleanroom_2,76.89,7.6,18.2,27.38,37.31
2024-05-21,Machine_16,Germanium,Cleanroom_3,74.43,3.55,2.36,25.67,44.32
2024-08-04,Machine_5,Silicon Carbide,Cleanroom_3,97.43,1.3,23.02,28.35,37.23
2024-06-20,Machine_4,Gallium Arsenide,Cleanroom_3,86.82,6.16,20.36,21.96,31.98
2023-10-28,Machine_9,Silicon Carbide,Cleanroom_1,71.4,5.84,10.66,27.48,35.39
2023-06-14,Machine_15,Gallium Arsenide,Cleanroom_3,91.86,6.5,19.16,28.54,40.1
2023-12-06,Machine_14,Gallium Arsenide,Cleanroom_3,78.93,4.4,12.85,26.77,31.36
2024-10-16,Machine_7,Gallium Arsenide,Cleanroom_4,90.85,6.64,9.76,29.92,30.57
2023-10-13,Machine_1,Germanium,Cleanroom_4,74.11,8.71,0.29,29.24,49.37
2024-06-02,Machine_10,Gallium Arsenide,Cleanroom_1,81.18,3.25,6.49,23.74,41.11
2024-06-18,Machine_7,Germanium,Cleanroom_1,76.58,7.22,21.96,27.97,42.13
2023-04-15,Machine_15,Germanium,Cleanroom_3,93.18,6.34,17.79,27.13,31.42
2024-09-29,Machine_19,Germanium,Cleanroom_2,73.97,8.77,22.77,24.99,34.17
2023-12-26,Machine_2,Silicon Carbide,Cleanroom_3,91.23,5.55,2.74,23.99,48.31
2023-03-15,Machine_14,Silicon Carbide,Cleanroom_2,82.35,7.9,18.11,20.56,33.76
2024-02-01,Machine_5,Silicon,Cleanroom_1,76.95,0.17,3.36,28.12,41.54
2024-09-10,Machine_8,Silicon Carbide,Cleanroom_4,72.35,0.82,10.08,30.0,38.47
2023-08-23,Machine_7,Silicon Carbide,Cleanroom_1,72.82,7.56,7.75,27.17,31.88
2023-06-23,Machine_18,Gallium Arsenide,Cleanroom_3,87.67,0.86,13.17,26.0,48.35
2023-04-18,Machine_15,Silicon,Cleanroom_4,70.31,5.27,14.98,29.17,48.55
2023-02-14,Machine_16,Silicon,Cleanroom_2,91.61,7.71,17.6,24.58,48.5
2024-06-19,Machine_16,Silicon,Cleanroom_4,72.71,8.66,14.32,21.14,46.89
2023-09-24,Machine_10,Silicon,Cleanroom_2,73.32,9.8,9.73,20.43,47.91
2024-04-13,Machine_20,Germanium,Cleanroom_2,83.38,5.84,11.54,26.18,40.99
2024-05-08,Machine_20,Silicon Carbide,Cleanroom_4,73.57,8.72,15.4,26.43,43.3
2023-10-18,Machine_3,Gallium Arsenide,Cleanroom_2,80.47,7.52,0.9,28.34,46.41
2024-09-29,Machine_14,Gallium Arsenide,Cleanroom_3,71.88,8.07,21.14,29.27,49.55
2024-02-24,Machine_9,Germanium,Cleanroom_3,92.56,1.33,3.17,23.71,38.73
2024-01-10,Machine_19,Silicon Carbide,Cleanroom_3,84.85,3.62,0.37,22.3,43.81
2023-12-01,Machine_3,Gallium Arsenide,Cleanroom_2,72.0,9.73,1.23,22.85,30.62
2023-01-15,Machine_3,Gallium Arsenide,Cleanroom_4,75.94,7.76,5.99,21.98,46.88
2024-06-17,Machine_17,Silicon,Cleanroom_1,85.51,2.2,5.65,27.6,47.1
2023-12-23,Machine_12,Silicon,Cleanroom_3,70.45,5.21,15.6,27.47,47.73
2024-02-20,Machine_16,Gallium Arsenide,Cleanroom_3,92.0,7.32,12.97,22.03,46.9
2024-10-21,Machine_7,Silicon,Cleanroom_1,99.39,6.1,12.1,21.45,31.06
2024-09-12,Machine_2,Gallium Arsenide,Cleanroom_1,83.69,8.58,11.16,23.65,47.69
2024-09-20,Machine_6,Gallium Arsenide,Cleanroom_2,81.59,5.7,0.07,30.0,31.63
2023-01-31,Machine_1,Silicon,Cleanroom_4,70.77,9.66,13.12,24.27,42.93
2024-08-21,Machine_8,Silicon,Cleanroom_4,84.46,6.13,6.93,23.98,39.04
2023-05-13,Machine_4,Germanium,Cleanroom_1,86.32,6.23,5.5,29.18,34.0
2024-01-10,Machine_16,Germanium,Cleanroom_1,95.38,9.86,2.07,25.38,47.2
2023-02-10,Machine_16,Germanium,Cleanroom_1,72.59,7.49,4.45,26.76,34.99
2023-09-06,Machine_5,Silicon Carbide,Cleanroom_2,74.0,3.08,6.45,25.85,37.7
2024-09-25,Machine_2,Silicon,Cleanroom_1,73.9,7.98,13.36,22.69,44.32
2024-04-05,Machine_16,Gallium Arsenide,Cleanroom_4,82.22,7.01,0.86,20.58,38.19
2023-05-01,Machine_6,Gallium Arsenide,Cleanroom_4,98.0,6.44,12.97,22.19,44.29
2024-05-24,Machine_17,Silicon,Cleanroom_2,89.6,6.45,18.66,27.84,36.13
2023-10-11,Machine_9,Silicon Carbide,Cleanroom_1,84.81,8.08,22.29,21.34,43.09
2023-09-23,Machine_14,Silicon,Cleanroom_4,85.64,3.43,14.53,23.08,41.36
2023-01-04,Machine_10,Gallium Arsenide,Cleanroom_2,72.8,3.75,2.89,23.58,36.15
2024-12-05,Machine_2,Gallium Arsenide,Cleanroom_3,72.42,8.66,10.99,26.46,34.05
2024-03-26,Machine_3,Silicon,Cleanroom_4,84.22,2.67,9.25,26.16,32.12
2023-08-18,Machine_13,Silicon,Cleanroom_3,99.51,2.16,6.13,25.15,32.59
2023-11-03,Machine_11,Gallium Arsenide,Cleanroom_3,76.54,4.0,17.59,26.6,35.73
2023-11-19,Machine_20,Silicon,Cleanroom_1,78.42,3.52,2.21,26.91,44.74
2023-07-31,Machine_6,Silicon Carbide,Cleanroom_3,89.49,8.72,14.95,26.51,48.21
2023-10-23,Machine_11,Gallium Arsenide,Cleanroom_2,95.03,1.12,5.6,22.08,48.05
2023-07-20,Machine_4,Germanium,Cleanroom_2,98.1,4.25,9.76,28.77,34.13
2024-11-03,Machine_13,Silicon Carbide,Cleanroom_1,72.54,6.9,20.64,20.7,35.48
2023-09-10,Machine_5,Gallium Arsenide,Cleanroom_2,80.6,6.03,10.12,24.19,44.93
2024-08-28,Machine_18,Germanium,Cleanroom_2,86.4,2.77,23.74,23.11,42.04
2023-01-12,Machine_19,Silicon,Cleanroom_4,80.81,8.23,1.38,28.8,49.8
2023-08-17,Machine_8,Germanium,Cleanroom_2,81.77,4.55,22.31,25.19,37.78
2024-08-05,Machine_7,Silicon,Cleanroom_2,97.12,2.43,16.33,29.08,41.38
2024-03-12,Machine_12,Germanium,Cleanroom_1,83.85,2.63,4.79,21.63,44.81
